steps,energies,variances,acceptances
0,239.82108052838137,11.821654656420733,0.98095703125
80,-82.31465952428658,12854.842387466932,0.4296875
160,-178.37509965451784,7748.751558278051,0.2919921875
240,-232.5016558371724,6866.514193627058,0.220703125
320,-281.0725951208168,2731.8219731156264,0.09326171875
400,-312.41891327370644,2609.466221471789,0.02880859375
480,-321.45598142068434,4279.122157150669,0.03857421875
560,-325.6952019826627,2932.706651823976,0.013671875
640,-327.24797671519735,2048.633359535154,0.0205078125
720,-333.51479441355815,1222.8278879108823,0.0009765625
25
